Index,Furnishing,BHK,Transaction,Super Area (in sqft),Bathroom,Link,CostPerSqft,TotalCost,Floor,Builder,Car Parking,overlooking,Balcony,facing,BuilderLink,Ownership,Location,Carpet Area,Status
43,Semi-Furnished,2,Resale,1105.053779,2,https://www.magicbricks.com/propertyDetails/2-BHK-1105-Sq-ft-Multistorey-Apartment-FOR-Sale-Kadugodi-in-Bangalore&id=4d423731373436313937,6787,7500000,2 out of 4,VS Sai Ashraya,0,Main Road,0,North,https://www.magicbricks.com/vs-sai-ashraya-kadugodi-bangalore-pdpid-4d4235303335323937,Freehold,Kadugodi,884 sqft,Ready to Move
44,Unfurnished,2,New Property,965,2,https://www.magicbricks.com/propertyDetails/2-BHK-965-Sq-ft-Multistorey-Apartment-FOR-Sale-Chandapura-in-Bangalore&id=4d423639353532393633,7223,6970000,Not Known,Raj High Gardens,0,Not Known,0,Not Known,https://www.magicbricks.com/raj-high-gardens-chandapura-bangalore-pdpid-4d4235333334313539,Not Known,Chandapura,Not Known,Under Construction Poss. by Dec '26
45,Unfurnished,2,New Property,1195,2,https://www.magicbricks.com/propertyDetails/2-BHK-1195-Sq-ft-Multistorey-Apartment-FOR-Sale-whitefield-in-Bangalore&id=4d423731323731383733,7509,8970000,Not Known,United Projects Dreamcity,1,Not Known,0,Not Known,https://www.magicbricks.com/united-projects-dreamcity-whitefield-bangalore-pdpid-4d4235333834313339,Not Known,Whitefield,Not Known,Under Construction Poss. by Dec '26
46,Furnished,2,New Property,1140,2,https://www.magicbricks.com/propertyDetails/2-BHK-1140-Sq-ft-Multistorey-Apartment-FOR-Sale-Sarjapur-in-Bangalore&id=4d423632393932393235,4500,5130000,Not Known,RRL Nature Wood,1,Not Known,0,Not Known,https://www.magicbricks.com/rrl-nature-wood-sarjapur-bangalore-pdpid-4d4235333234333831,Not Known,Sarjapura,Not Known,Ready to Move
47,Unfurnished,2,New Property,1025,2,https://www.magicbricks.com/propertyDetails/2-BHK-1025-Sq-ft-Multistorey-Apartment-FOR-Sale-Kanakapura-Road-in-Bangalore&id=4d423639353234383939,8999,9220000,Not Known,Mantri Serenity,1,Not Known,0,Not Known,https://www.magicbricks.com/mantri-serenity-kanakapura-road-bangalore-pdpid-4d4235303235353738,Not Known,Kanakapura Road,Not Known,Ready to Move
48,Unfurnished,2,New Property,1240,2,https://www.magicbricks.com/propertyDetails/2-BHK-1240-Sq-ft-Multistorey-Apartment-FOR-Sale-Varthur-in-Bangalore&id=4d423731393639383339,9200,11399999,Not Known,SSVR Niyaara,0,Not Known,0,Not Known,https://www.magicbricks.com/ssvr-niyaara-varthur-bangalore-pdpid-4d4235343139333337,Not Known,Varthur,Not Known,Under Construction Poss. by Dec '28
49,Semi-Furnished,2,Resale,1100.052383,2,https://www.magicbricks.com/propertyDetails/2-BHK-1140-Sq-ft-Multistorey-Apartment-FOR-Sale-Jakkur-in-Bangalore&id=4d423732303635323935,9545,10500000,9 out of 20,Arvind Skylands,1,"Garden/Park, Pool, Main Road",1,West,https://www.magicbricks.com/arvind-skylands-jakkur-bangalore-pdpid-4d4235303934353533,Freehold,Jakkur,800 sqft,Ready to Move
50,Unfurnished,2,New Property,1165,2,https://www.magicbricks.com/propertyDetails/2-BHK-1165-Sq-ft-Multistorey-Apartment-FOR-Sale-Banashankari-in-Bangalore&id=4d423731393136343531,9099,10600000,Not Known,Brigade 7 Gardens,0,Not Known,0,Not Known,https://www.magicbricks.com/brigade-7-gardens-banashankari-bangalore-pdpid-4d4235303932333235,Not Known,Banashankari,Not Known,Ready to Move
51,Unfurnished,2,New Property,1294,2,https://www.magicbricks.com/propertyDetails/2-BHK-1294-Sq-ft-Multistorey-Apartment-FOR-Sale-Kogilu-Main-Road-in-Bangalore&id=4d423731313538383237,10221,13200000,7 out of 17,Nikoo Homes VI Phase 1,1,Not Known,0,Not Known,https://www.magicbricks.com/nikoo-homes-vi-phase-1-kogilu-main-road-bangalore-pdpid-4d4235343138383535,Not Known,Kogilu Main Road,Not Known,Under Construction Poss. by Jan '29
52,Unfurnished,2,New Property,987,2,https://www.magicbricks.com/propertyDetails/2-BHK-1157-Sq-ft-Multistorey-Apartment-FOR-Sale-Yelahanka-in-Bangalore&id=4d423732303635363037,5000,4940000,Not Known,DS MAX Stavam,1,Not Known,0,Not Known,https://www.magicbricks.com/ds-max-stavam-yelahanka-bangalore-pdpid-4d4235333235313937,Not Known,Yelahanka,Not Known,Under Construction Poss. by Mar '25
53,Unfurnished,2,New Property,1331,2,https://www.magicbricks.com/propertyDetails/2-BHK-1331-Sq-ft-Multistorey-Apartment-FOR-Sale-JP-Nagar-9th-Phase-in-Bangalore&id=4d423731363436343633,7799,10300000,Not Known,HM Indigo,0,Not Known,0,Not Known,https://www.magicbricks.com/hm-indigo-jp-nagar-9th-phase-bangalore-pdpid-4d4235303037333338,Not Known,Phase 9th JP Nagar,Not Known,Ready to Move
54,Semi-Furnished,2,New Property,1546,2,https://www.magicbricks.com/propertyDetails/2-BHK-1140-Sq-ft-Multistorey-Apartment-FOR-Sale-Sarjapur-in-Bangalore&id=4d423632393932393235,7606,11700000,Not Known,Aiikya Village Sarjapur,1,Not Known,0,Not Known,https://www.magicbricks.com/aiikya-village-sarjapur-sarjapur-bangalore-pdpid-4d4235343138383935,Not Known,Sarjapura,Not Known,Under Construction Poss. by Nov '26
55,Unfurnished,2,New Property,1166,2,https://www.magicbricks.com/propertyDetails/2-BHK-1166-Sq-ft-Multistorey-Apartment-FOR-Sale-Hennur-Main-Road-in-Bangalore&id=4d423730363436303537,6800,7930000,Not Known,Bhoo Aabharana,0,Not Known,0,Not Known,https://www.magicbricks.com/bhoo-aabharana-hennur-main-road-bangalore-pdpid-4d4235343138323735,Not Known,Hennur Main Road,Not Known,Under Construction Poss. by Dec '24
56,Semi-Furnished,2,New Property,1261,2,https://www.magicbricks.com/propertyDetails/2-BHK-1261-Sq-ft-Multistorey-Apartment-FOR-Sale-Uttarahalli-in-Bangalore&id=4d423731373935393333,7367,9290000,Not Known,Jains Swadesh,0,Not Known,0,Not Known,https://www.magicbricks.com/jains-swadesh-uttarahalli-bangalore-pdpid-4d4235303236313536,Not Known,Uttarahalli Hobli,Not Known,Ready to Move
57,Unfurnished,2,New Property,1196,2,https://www.magicbricks.com/propertyDetails/2-BHK-1163-Sq-ft-Multistorey-Apartment-FOR-Sale-Panathur-in-Bangalore&id=4d423731313231353937,8000,9570000,Not Known,SM ART,1,Not Known,0,Not Known,https://www.magicbricks.com/sm-art-panathur-bangalore-pdpid-4d4235333334323133,Not Known,Panathur,Not Known,Under Construction Poss. by Dec '24
58,Unfurnished,2,New Property,900,2,https://www.magicbricks.com/propertyDetails/2-BHK-900-Sq-ft-Multistorey-Apartment-FOR-Sale-Bommasandra-in-Bangalore&id=4d423731393933373235,6483,5830000,Not Known,Icon Micasa,1,Not Known,0,Not Known,https://www.magicbricks.com/icon-micasa-bommasandra-bangalore-pdpid-4d4235333334343933,Not Known,Bommasandra,Not Known,Under Construction Poss. by Dec '25
59,Unfurnished,2,New Property,1289,2,https://www.magicbricks.com/propertyDetails/2-BHK-1140-Sq-ft-Multistorey-Apartment-FOR-Sale-Jakkur-in-Bangalore&id=4d423732303635323935,8456,10900000,Not Known,RR Wish Tales,0,Not Known,0,Not Known,https://www.magicbricks.com/rr-wish-tales-jakkur-bangalore-pdpid-4d4235343136373635,Not Known,Jakkur,Not Known,Under Construction Poss. by Mar '27
60,Semi-Furnished,3,New Property,3210,2,https://www.magicbricks.com/propertyDetails/3-BHK-3210-Sq-ft-Multistorey-Apartment-FOR-Sale-Hebbal-in-Bangalore&id=4d423730373839323537,15585,50000000,35 out of 40,SNN Clermont,1,Not Known,0,Not Known,https://www.magicbricks.com/snn-clermont-hebbal-bangalore-pdpid-4d4235303936393739,Not Known,Hebbal,Not Known,Ready to Move
61,Unfurnished,3,New Property,1990,3,https://www.magicbricks.com/propertyDetails/3-BHK-1990-Sq-ft-Multistorey-Apartment-FOR-Sale-Sarjapur-Road-in-Bangalore&id=4d423732323036303735,9981,19800000,Not Known,Abhee Celestial City,0,Not Known,0,Not Known,https://www.magicbricks.com/abhee-celestial-city-sarjapur-road-bangalore-pdpid-4d4235343137383235,Not Known,Sarjapur Road,Not Known,Under Construction Poss. by Jul '27
62,Unfurnished,3,New Property,2083,3,https://www.magicbricks.com/propertyDetails/3-BHK-2083-Sq-ft-Multistorey-Apartment-FOR-Sale-K-R-Puram-in-Bangalore&id=4d423639313237333531,8929,18600000,Not Known,RJ Lake Gardenia,0,Not Known,0,Not Known,https://www.magicbricks.com/rj-lake-gardenia-k-r-puram-bangalore-pdpid-4d4235303339363333,Not Known,Krishnarajapura,Not Known,Under Construction Poss. by Jun '24
63,Unfurnished,3,New Property,1775,3,https://www.magicbricks.com/propertyDetails/3-BHK-1775-Sq-ft-Multistorey-Apartment-FOR-Sale-Jakkur-in-Bangalore&id=4d423732303635323139,5000,8880000,Not Known,Shashank Akshadha,0,Not Known,0,Not Known,https://www.magicbricks.com/shashank-akshadha-jakkur-bangalore-pdpid-4d4235333333373733,Not Known,Jakkur,Not Known,Under Construction Poss. by May '24
64,Unfurnished,3,New Property,1365,3,https://www.magicbricks.com/propertyDetails/3-BHK-1990-Sq-ft-Multistorey-Apartment-FOR-Sale-Sarjapur-Road-in-Bangalore&id=4d423732323036303735,6794,9270000,Not Known,Jhanavi Noreste,0,Not Known,3,Not Known,https://www.magicbricks.com/jhanavi-noreste-sarjapur-road-bangalore-pdpid-4d4235343034323737,Not Known,Sarjapur Road,Not Known,Under Construction Poss. by May '24
65,Unfurnished,3,New Property,2678,3,https://www.magicbricks.com/propertyDetails/3-BHK-2678-Sq-ft-Multistorey-Apartment-FOR-Sale-Rajaji-Nagar-in-Bangalore&id=4d423731313639323337,23854,63800000,3 out of 30,Phoenix Kessaku,2,Not Known,0,Not Known,https://www.magicbricks.com/phoenix-kessaku-rajaji-nagar-bangalore-pdpid-4d4235313034363737,Not Known,Rajajinagar,Not Known,Ready to Move
66,Unfurnished,3,New Property,1720,3,https://www.magicbricks.com/propertyDetails/3-BHK-1720-Sq-ft-Multistorey-Apartment-FOR-Sale-whitefield-in-Bangalore&id=4d423731363035333537,12475,21400000,Not Known,Folium By Sumadhura Phase 2,0,Not Known,0,Not Known,https://www.magicbricks.com/folium-by-sumadhura-phase-2-whitefield-bangalore-pdpid-4d4235343036313433,Not Known,Whitefield,Not Known,Under Construction Poss. by Dec '25
67,Unfurnished,3,New Property,1740,3,https://www.magicbricks.com/propertyDetails/3-BHK-1720-Sq-ft-Multistorey-Apartment-FOR-Sale-whitefield-in-Bangalore&id=4d423731363035333537,12201,21200000,Not Known,Spectra Parijatha,1,Not Known,0,Not Known,https://www.magicbricks.com/spectra-parijatha-whitefield-bangalore-pdpid-4d4235343138333935,Not Known,Whitefield,Not Known,Under Construction Poss. by Aug '28
68,Unfurnished,3,Resale,2677.968961,3,https://www.magicbricks.com/propertyDetails/3-BHK-2678-Sq-ft-Multistorey-Apartment-FOR-Sale-Rajaji-Nagar-in-Bangalore&id=4d423731313639323337,23712,63500000,11 out of 30,Phoenix Kessaku,1,"Garden/Park, Pool, Main Road",2,East,https://www.magicbricks.com/phoenix-kessaku-rajaji-nagar-bangalore-pdpid-4d4235313034363737,Freehold,Rajajinagar,1582 sqft,Ready to Move
69,Unfurnished,3,New Property,1082,3,https://www.magicbricks.com/propertyDetails/3-BHK-1082-Sq-ft-Multistorey-Apartment-FOR-Sale-Mysore-Road-in-Bangalore&id=4d423536343936393137,6035,6530000,8 out of 12,Provident Sunworth City,1,Not Known,0,Not Known,https://www.magicbricks.com/provident-sunworth-city-mysore-road-bangalore-pdpid-4d4235313234343339,Not Known,Mysore Road,Not Known,Under Construction Poss. by Jun '24
70,Unfurnished,3,New Property,1936,3,https://www.magicbricks.com/hm-indigo-jp-nagar-9th-phase-bangalore-pdpid-4d4235303037333338/prjDtId-4d42363434353435,10331,20000000,Not Known,Purva Park Hill,1,Not Known,0,Not Known,https://www.magicbricks.com/purva-park-hill-kanakapura-road-bangalore-pdpid-4d4235333336373333,Not Known,Kanakapura Road,Not Known,Under Construction Poss. by Dec '27
71,Unfurnished,3,New Property,1675,3,https://www.magicbricks.com/propertyDetails/3-BHK-1675-Sq-ft-Multistorey-Apartment-FOR-Sale-Thanisandra-Main-Road-in-Bangalore&id=4d423731393638323731,10490,17500000,Not Known,Orchid Salisbury,0,Not Known,0,Not Known,https://www.magicbricks.com/orchid-salisbury-thanisandra-main-road-bangalore-pdpid-4d4235343138343331,Not Known,Thanisandra Main Road,Not Known,Under Construction Poss. by Dec '28
72,Unfurnished,3,New Property,1450,3,https://www.magicbricks.com/propertyDetails/3-BHK-1450-Sq-ft-Multistorey-Apartment-FOR-Sale-Yelahanka-New-Town-in-Bangalore&id=4d423731393733373737,7241,10500000,Not Known,Concorde Antares,1,Not Known,0,Not Known,https://www.magicbricks.com/concorde-antares-yelahanka-new-town-bangalore-pdpid-4d4235343138323733,Not Known,Yelahanka New Town,Not Known,Under Construction Poss. by Dec '28
73,Unfurnished,3,New Property,1822,3,https://www.magicbricks.com/propertyDetails/3-BHK-1990-Sq-ft-Multistorey-Apartment-FOR-Sale-Sarjapur-Road-in-Bangalore&id=4d423732323036303735,9934,18100000,Not Known,Mana Dale,1,Not Known,0,Not Known,https://www.magicbricks.com/mana-dale-sarjapur-road-bangalore-pdpid-4d4235343137383233,Not Known,Sarjapur Road,Not Known,Under Construction Poss. by Dec '27
74,Semi-Furnished,3,New Property,1354,2,https://www.magicbricks.com/propertyDetails/3-BHK-1675-Sq-ft-Multistorey-Apartment-FOR-Sale-Thanisandra-Main-Road-in-Bangalore&id=4d423731393638323731,10000,13500000,Not Known,Nikoo Homes IV,1,Not Known,0,Not Known,https://www.magicbricks.com/nikoo-homes-iv-thanisandra-main-road-bangalore-pdpid-4d4235323939333835,Not Known,Thanisandra Main Road,Not Known,Under Construction Poss. by Jul '25
75,Unfurnished,3,New Property,1366,2,https://www.magicbricks.com/propertyDetails/3-BHK-1366-Sq-ft-Multistorey-Apartment-FOR-Sale-Panathur-in-Bangalore&id=4d423731313231363135,10029,13700000,Not Known,Orchid Bloomsberry,0,Not Known,0,Not Known,https://www.magicbricks.com/orchid-bloomsberry-panathur-bangalore-pdpid-4d4235343137323737,Not Known,Panathur,Not Known,Under Construction Poss. by Mar '28
76,Unfurnished,3,New Property,1080,3,https://www.magicbricks.com/propertyDetails/3-BHK-1080-Sq-ft-Multistorey-Apartment-FOR-Sale-Chandapura-in-Bangalore&id=4d423639353533303233,7163,7740000,Not Known,Raj High Gardens,0,Not Known,0,Not Known,https://www.magicbricks.com/raj-high-gardens-chandapura-bangalore-pdpid-4d4235333334313539,Not Known,Chandapura,Not Known,Under Construction Poss. by Dec '26
77,Unfurnished,3,New Property,2154,3,https://www.magicbricks.com/propertyDetails/3-BHK-1720-Sq-ft-Multistorey-Apartment-FOR-Sale-whitefield-in-Bangalore&id=4d423731363035333537,13881,29900000,Not Known,Assetz 66 and Shibui,1,Not Known,0,Not Known,https://www.magicbricks.com/assetz-66-and-shibui-whitefield-bangalore-pdpid-4d4235343139343839,Not Known,Whitefield,Not Known,Under Construction Poss. by Jun '28
78,Unfurnished,3,New Property,1289,2,https://www.magicbricks.com/propertyDetails/3-BHK-1720-Sq-ft-Multistorey-Apartment-FOR-Sale-whitefield-in-Bangalore&id=4d423731363035333537,7509,9680000,Not Known,United Projects Dreamcity,1,Not Known,0,Not Known,https://www.magicbricks.com/united-projects-dreamcity-whitefield-bangalore-pdpid-4d4235333834313339,Not Known,Whitefield,Not Known,Under Construction Poss. by Dec '26
79,Unfurnished,3,New Property,1471,2,https://www.magicbricks.com/propertyDetails/3-BHK-1471-Sq-ft-Multistorey-Apartment-FOR-Sale-Begur-in-Bangalore&id=4d423731383733313637,7002,10300000,Not Known,Casagrand Amor,0,Not Known,0,Not Known,https://www.magicbricks.com/casagrand-amor-begur-bangalore-pdpid-4d4235343139353333,Not Known,Begur,Not Known,Under Construction Poss. by Mar '26
80,Unfurnished,3,Resale,1900.057002,3,https://www.magicbricks.com/propertyDetails/3-BHK-1775-Sq-ft-Multistorey-Apartment-FOR-Sale-Jakkur-in-Bangalore&id=4d423732303635323139,15789,30000000,12 out of 20,Sobha HRC Pristine,1,"Garden/Park, Pool, Main Road",2,East,https://www.magicbricks.com/sobha-hrc-pristine-jakkur-bangalore-pdpid-4d4235313130303633,Freehold,Jakkur,1600 sqft,Ready to Move
81,Unfurnished,3,New Property,1997,3,"https://www.magicbricks.com/property-for-sale/residential-real-estate?bedroom=3&proptype=Multistorey-Apartment,Builder-Floor-Apartment,Penthouse,Studio-Apartment,Residential-House,Villa&cityName=Bangalore",6776,13500000,Not Known,Eshas Courtyard,1,Not Known,0,Not Known,https://www.magicbricks.com/eshas-courtyard-sarjapur-road-bangalore-pdpid-4d4235343138353937,Not Known,Sarjapur Road,Not Known,Under Construction Poss. by Jul '25
82,Unfurnished,3,New Property,1500,3,https://www.magicbricks.com/propertyDetails/3-BHK-1500-Sq-ft-Multistorey-Apartment-FOR-Sale-Varthur-in-Bangalore&id=4d423731393639383631,9200,13799999,Not Known,SSVR Niyaara,0,Not Known,0,Not Known,https://www.magicbricks.com/ssvr-niyaara-varthur-bangalore-pdpid-4d4235343139333337,Not Known,Varthur,Not Known,Under Construction Poss. by Dec '28
83,Unfurnished,3,New Property,1661,3,https://www.magicbricks.com/propertyDetails/3-BHK-1990-Sq-ft-Multistorey-Apartment-FOR-Sale-Sarjapur-Road-in-Bangalore&id=4d423732323036303735,12041,20000000,Not Known,The Right Life,0,Not Known,0,Not Known,https://www.magicbricks.com/the-right-life-sarjapur-road-bangalore-pdpid-4d4235343139393339,Not Known,Sarjapur Road,Not Known,Under Construction Poss. by Jul '29
84,Unfurnished,3,New Property,1100,2,https://www.magicbricks.com/propertyDetails/3-BHK-1100-Sq-ft-Villa-FOR-Sale-Sarjapur-in-Bangalore&id=4d423730313236333131,11504,12600000,Not Known,Metropolis Fair Oaks II,0,Not Known,0,Not Known,https://www.magicbricks.com/metropolis-fair-oaks-ii-sarjapur-bangalore-pdpid-4d4235333431323333,Not Known,Sarjapura,Not Known,Under Construction Poss. by Sep '24
85,Unfurnished,3,New Property,1395,2,https://www.magicbricks.com/propertyDetails/3-BHK-1395-Sq-ft-Multistorey-Apartment-FOR-Sale-Banashankari-in-Bangalore&id=4d423731393136343835,9104,12700000,Not Known,Brigade 7 Gardens,0,Not Known,0,Not Known,https://www.magicbricks.com/brigade-7-gardens-banashankari-bangalore-pdpid-4d4235303932333235,Not Known,Banashankari,Not Known,Ready to Move
86,Unfurnished,3,New Property,2182,3,https://www.magicbricks.com/propertyDetails/3-BHK-2182-Sq-ft-Multistorey-Apartment-FOR-Sale-Kogilu-Main-Road-in-Bangalore&id=4d423731313538393431,10549,23000000,11 out of 17,Nikoo Homes VI Phase 1,1,Not Known,0,Not Known,https://www.magicbricks.com/nikoo-homes-vi-phase-1-kogilu-main-road-bangalore-pdpid-4d4235343138383535,Not Known,Kogilu Main Road,Not Known,Under Construction Poss. by Jan '29
87,Unfurnished,3,New Property,1315,2,https://www.magicbricks.com/propertyDetails/3-BHK-1315-Sq-ft-Multistorey-Apartment-FOR-Sale-Yelahanka-in-Bangalore&id=4d423638323431303935,5000,6580000,Not Known,DS MAX Stavam,1,Not Known,0,Not Known,https://www.magicbricks.com/ds-max-stavam-yelahanka-bangalore-pdpid-4d4235333235313937,Not Known,Yelahanka,Not Known,Under Construction Poss. by Mar '25
88,Unfurnished,3,New Property,1814,3,https://www.magicbricks.com/propertyDetails/3-BHK-1814-Sq-ft-Multistorey-Apartment-FOR-Sale-JP-Nagar-9th-Phase-in-Bangalore&id=4d423731363436353933,7533,13600000,Not Known,HM Indigo,0,Not Known,0,Not Known,https://www.magicbricks.com/hm-indigo-jp-nagar-9th-phase-bangalore-pdpid-4d4235303037333338,Not Known,Phase 9th JP Nagar,Not Known,Ready to Move
89,Semi-Furnished,3,New Property,1812,3,https://www.magicbricks.com/propertyDetails/3-BHK-1812-Sq-ft-Multistorey-Apartment-FOR-Sale-Sarjapur-in-Bangalore&id=4d423731343833343335,7606,13700000,Not Known,Aiikya Village Sarjapur,1,Not Known,0,Not Known,https://www.magicbricks.com/aiikya-village-sarjapur-sarjapur-bangalore-pdpid-4d4235343138383935,Not Known,Sarjapura,Not Known,Under Construction Poss. by Nov '26
