,Location,Builder,Status,Transaction,BHK,TotalCost,CostPerSqft,Super Area (in sqft),Bathroom,Balcony,Car Parking,Furnishing,Link,BuilderLink
43,Chandapura,Raj High Gardens,Under Construction Poss. by Dec '26,New Property,2,6970000,7223,965.0,2,0,0,Unfurnished,https://www.magicbricks.com/propertyDetails/2-BHK-965-Sq-ft-Multistorey-Apartment-FOR-Sale-Chandapura-in-Bangalore&id=4d423639353532393633,https://www.magicbricks.com/raj-high-gardens-chandapura-bangalore-pdpid-4d4235333334313539
44,Whitefield,United Projects Dreamcity,Under Construction Poss. by Dec '26,New Property,2,8970000,7509,1195.0,2,0,1,Unfurnished,https://www.magicbricks.com/propertyDetails/2-BHK-1195-Sq-ft-Multistorey-Apartment-FOR-Sale-whitefield-in-Bangalore&id=4d423731323731383733,https://www.magicbricks.com/united-projects-dreamcity-whitefield-bangalore-pdpid-4d4235333834313339
45,Sarjapura,RRL Nature Wood,Ready to Move,New Property,2,5130000,4500,1140.0,2,0,1,Furnished,https://www.magicbricks.com/propertyDetails/2-BHK-1140-Sq-ft-Multistorey-Apartment-FOR-Sale-Sarjapur-in-Bangalore&id=4d423632393932393235,https://www.magicbricks.com/rrl-nature-wood-sarjapur-bangalore-pdpid-4d4235333234333831
46,Kanakapura Road,Mantri Serenity,Ready to Move,New Property,2,9220000,8999,1025.0,2,0,1,Unfurnished,https://www.magicbricks.com/propertyDetails/2-BHK-1025-Sq-ft-Multistorey-Apartment-FOR-Sale-Kanakapura-Road-in-Bangalore&id=4d423639353234383939,https://www.magicbricks.com/mantri-serenity-kanakapura-road-bangalore-pdpid-4d4235303235353738
47,Varthur,SSVR Niyaara,Under Construction Poss. by Dec '28,New Property,2,11399999,9200,1240.0,2,0,0,Unfurnished,https://www.magicbricks.com/propertyDetails/2-BHK-1240-Sq-ft-Multistorey-Apartment-FOR-Sale-Varthur-in-Bangalore&id=4d423731393639383339,https://www.magicbricks.com/ssvr-niyaara-varthur-bangalore-pdpid-4d4235343139333337
48,Jakkur,Arvind Skylands,Ready to Move,Resale,2,10500000,9545,1100.052383,2,1,1,Semi-Furnished,https://www.magicbricks.com/propertyDetails/2-BHK-1140-Sq-ft-Multistorey-Apartment-FOR-Sale-Jakkur-in-Bangalore&id=4d423732303635323935,https://www.magicbricks.com/arvind-skylands-jakkur-bangalore-pdpid-4d4235303934353533
49,Banashankari,Brigade 7 Gardens,Ready to Move,New Property,2,10600000,9099,1165.0,2,0,0,Unfurnished,https://www.magicbricks.com/propertyDetails/2-BHK-1165-Sq-ft-Multistorey-Apartment-FOR-Sale-Banashankari-in-Bangalore&id=4d423731393136343531,https://www.magicbricks.com/brigade-7-gardens-banashankari-bangalore-pdpid-4d4235303932333235
50,Kogilu Main Road,Nikoo Homes VI Phase 1,Under Construction Poss. by Jan '29,New Property,2,13200000,10221,1294.0,2,0,1,Unfurnished,https://www.magicbricks.com/propertyDetails/2-BHK-1294-Sq-ft-Multistorey-Apartment-FOR-Sale-Kogilu-Main-Road-in-Bangalore&id=4d423731313538383237,https://www.magicbricks.com/nikoo-homes-vi-phase-1-kogilu-main-road-bangalore-pdpid-4d4235343138383535
51,Yelahanka,DS MAX Stavam,Under Construction Poss. by Mar '25,New Property,2,4940000,5000,987.0,2,0,1,Unfurnished,https://www.magicbricks.com/propertyDetails/2-BHK-1157-Sq-ft-Multistorey-Apartment-FOR-Sale-Yelahanka-in-Bangalore&id=4d423732303635363037,https://www.magicbricks.com/ds-max-stavam-yelahanka-bangalore-pdpid-4d4235333235313937
52,Phase 9th JP Nagar,HM Indigo,Ready to Move,New Property,2,10300000,7799,1331.0,2,0,0,Unfurnished,https://www.magicbricks.com/propertyDetails/2-BHK-1331-Sq-ft-Multistorey-Apartment-FOR-Sale-JP-Nagar-9th-Phase-in-Bangalore&id=4d423731363436343633,https://www.magicbricks.com/hm-indigo-jp-nagar-9th-phase-bangalore-pdpid-4d4235303037333338
53,Sarjapura,Aiikya Village Sarjapur,Under Construction Poss. by Nov '26,New Property,2,11700000,7606,1546.0,2,0,1,Semi-Furnished,https://www.magicbricks.com/propertyDetails/2-BHK-1140-Sq-ft-Multistorey-Apartment-FOR-Sale-Sarjapur-in-Bangalore&id=4d423632393932393235,https://www.magicbricks.com/aiikya-village-sarjapur-sarjapur-bangalore-pdpid-4d4235343138383935
54,Hennur Main Road,Bhoo Aabharana,Under Construction Poss. by Dec '24,New Property,2,7930000,6800,1166.0,2,0,0,Unfurnished,https://www.magicbricks.com/propertyDetails/2-BHK-1166-Sq-ft-Multistorey-Apartment-FOR-Sale-Hennur-Main-Road-in-Bangalore&id=4d423730363436303537,https://www.magicbricks.com/bhoo-aabharana-hennur-main-road-bangalore-pdpid-4d4235343138323735
55,Uttarahalli Hobli,Jains Swadesh,Ready to Move,New Property,2,9290000,7367,1261.0,2,0,0,Semi-Furnished,https://www.magicbricks.com/propertyDetails/2-BHK-1261-Sq-ft-Multistorey-Apartment-FOR-Sale-Uttarahalli-in-Bangalore&id=4d423731373935393333,https://www.magicbricks.com/jains-swadesh-uttarahalli-bangalore-pdpid-4d4235303236313536
56,Panathur,SM ART,Under Construction Poss. by Dec '24,New Property,2,9570000,8000,1196.0,2,0,1,Unfurnished,https://www.magicbricks.com/propertyDetails/2-BHK-1163-Sq-ft-Multistorey-Apartment-FOR-Sale-Panathur-in-Bangalore&id=4d423731313231353937,https://www.magicbricks.com/sm-art-panathur-bangalore-pdpid-4d4235333334323133
57,Bommasandra,Icon Micasa,Under Construction Poss. by Dec '25,New Property,2,5830000,6483,900.0,2,0,1,Unfurnished,https://www.magicbricks.com/propertyDetails/2-BHK-900-Sq-ft-Multistorey-Apartment-FOR-Sale-Bommasandra-in-Bangalore&id=4d423731393933373235,https://www.magicbricks.com/icon-micasa-bommasandra-bangalore-pdpid-4d4235333334343933
58,Jakkur,RR Wish Tales,Under Construction Poss. by Mar '27,New Property,2,10900000,8456,1289.0,2,0,0,Unfurnished,https://www.magicbricks.com/propertyDetails/2-BHK-1140-Sq-ft-Multistorey-Apartment-FOR-Sale-Jakkur-in-Bangalore&id=4d423732303635323935,https://www.magicbricks.com/rr-wish-tales-jakkur-bangalore-pdpid-4d4235343136373635
59,Hebbal,SNN Clermont,Ready to Move,New Property,3,50000000,15585,3210.0,2,0,1,Semi-Furnished,https://www.magicbricks.com/propertyDetails/3-BHK-3210-Sq-ft-Multistorey-Apartment-FOR-Sale-Hebbal-in-Bangalore&id=4d423730373839323537,https://www.magicbricks.com/snn-clermont-hebbal-bangalore-pdpid-4d4235303936393739
60,Sarjapur Road,Abhee Celestial City,Under Construction Poss. by Jul '27,New Property,3,19800000,9981,1990.0,3,0,0,Unfurnished,https://www.magicbricks.com/propertyDetails/3-BHK-1990-Sq-ft-Multistorey-Apartment-FOR-Sale-Sarjapur-Road-in-Bangalore&id=4d423732323036303735,https://www.magicbricks.com/abhee-celestial-city-sarjapur-road-bangalore-pdpid-4d4235343137383235
61,Krishnarajapura,RJ Lake Gardenia,Under Construction Poss. by Jun '24,New Property,3,18600000,8929,2083.0,3,0,0,Unfurnished,https://www.magicbricks.com/propertyDetails/3-BHK-2083-Sq-ft-Multistorey-Apartment-FOR-Sale-K-R-Puram-in-Bangalore&id=4d423639313237333531,https://www.magicbricks.com/rj-lake-gardenia-k-r-puram-bangalore-pdpid-4d4235303339363333
62,Jakkur,Shashank Akshadha,Under Construction Poss. by May '24,New Property,3,8880000,5000,1775.0,3,0,0,Unfurnished,https://www.magicbricks.com/propertyDetails/3-BHK-1775-Sq-ft-Multistorey-Apartment-FOR-Sale-Jakkur-in-Bangalore&id=4d423732303635323139,https://www.magicbricks.com/shashank-akshadha-jakkur-bangalore-pdpid-4d4235333333373733
63,Sarjapur Road,Jhanavi Noreste,Under Construction Poss. by May '24,New Property,3,9270000,6794,1365.0,3,3,0,Unfurnished,https://www.magicbricks.com/propertyDetails/3-BHK-1990-Sq-ft-Multistorey-Apartment-FOR-Sale-Sarjapur-Road-in-Bangalore&id=4d423732323036303735,https://www.magicbricks.com/jhanavi-noreste-sarjapur-road-bangalore-pdpid-4d4235343034323737
64,Rajajinagar,Phoenix Kessaku,Ready to Move,New Property,3,63800000,23854,2678.0,3,0,2,Unfurnished,https://www.magicbricks.com/propertyDetails/3-BHK-2678-Sq-ft-Multistorey-Apartment-FOR-Sale-Rajaji-Nagar-in-Bangalore&id=4d423731313639323337,https://www.magicbricks.com/phoenix-kessaku-rajaji-nagar-bangalore-pdpid-4d4235313034363737
65,Whitefield,Folium By Sumadhura Phase 2,Under Construction Poss. by Dec '25,New Property,3,21400000,12475,1720.0,3,0,0,Unfurnished,https://www.magicbricks.com/propertyDetails/3-BHK-1720-Sq-ft-Multistorey-Apartment-FOR-Sale-whitefield-in-Bangalore&id=4d423731363035333537,https://www.magicbricks.com/folium-by-sumadhura-phase-2-whitefield-bangalore-pdpid-4d4235343036313433
66,Whitefield,Spectra Parijatha,Under Construction Poss. by Aug '28,New Property,3,21200000,12201,1740.0,3,0,1,Unfurnished,https://www.magicbricks.com/propertyDetails/3-BHK-1720-Sq-ft-Multistorey-Apartment-FOR-Sale-whitefield-in-Bangalore&id=4d423731363035333537,https://www.magicbricks.com/spectra-parijatha-whitefield-bangalore-pdpid-4d4235343138333935
67,Rajajinagar,Phoenix Kessaku,Ready to Move,Resale,3,63500000,23712,2677.968961,3,2,1,Unfurnished,https://www.magicbricks.com/propertyDetails/3-BHK-2678-Sq-ft-Multistorey-Apartment-FOR-Sale-Rajaji-Nagar-in-Bangalore&id=4d423731313639323337,https://www.magicbricks.com/phoenix-kessaku-rajaji-nagar-bangalore-pdpid-4d4235313034363737
68,Mysore Road,Provident Sunworth City,Under Construction Poss. by Jun '24,New Property,3,6530000,6035,1082.0,3,0,1,Unfurnished,https://www.magicbricks.com/propertyDetails/3-BHK-1082-Sq-ft-Multistorey-Apartment-FOR-Sale-Mysore-Road-in-Bangalore&id=4d423536343936393137,https://www.magicbricks.com/provident-sunworth-city-mysore-road-bangalore-pdpid-4d4235313234343339
69,Kanakapura Road,Purva Park Hill,Under Construction Poss. by Dec '27,New Property,3,20000000,10331,1936.0,3,0,1,Unfurnished,https://www.magicbricks.com/hm-indigo-jp-nagar-9th-phase-bangalore-pdpid-4d4235303037333338/prjDtId-4d42363434353435,https://www.magicbricks.com/purva-park-hill-kanakapura-road-bangalore-pdpid-4d4235333336373333
70,Thanisandra Main Road,Orchid Salisbury,Under Construction Poss. by Dec '28,New Property,3,17500000,10490,1675.0,3,0,0,Unfurnished,https://www.magicbricks.com/propertyDetails/3-BHK-1675-Sq-ft-Multistorey-Apartment-FOR-Sale-Thanisandra-Main-Road-in-Bangalore&id=4d423731393638323731,https://www.magicbricks.com/orchid-salisbury-thanisandra-main-road-bangalore-pdpid-4d4235343138343331
71,Yelahanka New Town,Concorde Antares,Under Construction Poss. by Dec '28,New Property,3,10500000,7241,1450.0,3,0,1,Unfurnished,https://www.magicbricks.com/propertyDetails/3-BHK-1450-Sq-ft-Multistorey-Apartment-FOR-Sale-Yelahanka-New-Town-in-Bangalore&id=4d423731393733373737,https://www.magicbricks.com/concorde-antares-yelahanka-new-town-bangalore-pdpid-4d4235343138323733
72,Sarjapur Road,Mana Dale,Under Construction Poss. by Dec '27,New Property,3,18100000,9934,1822.0,3,0,1,Unfurnished,https://www.magicbricks.com/propertyDetails/3-BHK-1990-Sq-ft-Multistorey-Apartment-FOR-Sale-Sarjapur-Road-in-Bangalore&id=4d423732323036303735,https://www.magicbricks.com/mana-dale-sarjapur-road-bangalore-pdpid-4d4235343137383233
73,Thanisandra Main Road,Nikoo Homes IV,Under Construction Poss. by Jul '25,New Property,3,13500000,10000,1354.0,2,0,1,Semi-Furnished,https://www.magicbricks.com/propertyDetails/3-BHK-1675-Sq-ft-Multistorey-Apartment-FOR-Sale-Thanisandra-Main-Road-in-Bangalore&id=4d423731393638323731,https://www.magicbricks.com/nikoo-homes-iv-thanisandra-main-road-bangalore-pdpid-4d4235323939333835
74,Panathur,Orchid Bloomsberry,Under Construction Poss. by Mar '28,New Property,3,13700000,10029,1366.0,2,0,0,Unfurnished,https://www.magicbricks.com/propertyDetails/3-BHK-1366-Sq-ft-Multistorey-Apartment-FOR-Sale-Panathur-in-Bangalore&id=4d423731313231363135,https://www.magicbricks.com/orchid-bloomsberry-panathur-bangalore-pdpid-4d4235343137323737
75,Chandapura,Raj High Gardens,Under Construction Poss. by Dec '26,New Property,3,7740000,7163,1080.0,3,0,0,Unfurnished,https://www.magicbricks.com/propertyDetails/3-BHK-1080-Sq-ft-Multistorey-Apartment-FOR-Sale-Chandapura-in-Bangalore&id=4d423639353533303233,https://www.magicbricks.com/raj-high-gardens-chandapura-bangalore-pdpid-4d4235333334313539
76,Whitefield,Assetz 66 and Shibui,Under Construction Poss. by Jun '28,New Property,3,29900000,13881,2154.0,3,0,1,Unfurnished,https://www.magicbricks.com/propertyDetails/3-BHK-1720-Sq-ft-Multistorey-Apartment-FOR-Sale-whitefield-in-Bangalore&id=4d423731363035333537,https://www.magicbricks.com/assetz-66-and-shibui-whitefield-bangalore-pdpid-4d4235343139343839
77,Whitefield,United Projects Dreamcity,Under Construction Poss. by Dec '26,New Property,3,9680000,7509,1289.0,2,0,1,Unfurnished,https://www.magicbricks.com/propertyDetails/3-BHK-1720-Sq-ft-Multistorey-Apartment-FOR-Sale-whitefield-in-Bangalore&id=4d423731363035333537,https://www.magicbricks.com/united-projects-dreamcity-whitefield-bangalore-pdpid-4d4235333834313339
78,Begur,Casagrand Amor,Under Construction Poss. by Mar '26,New Property,3,10300000,7002,1471.0,2,0,0,Unfurnished,https://www.magicbricks.com/propertyDetails/3-BHK-1471-Sq-ft-Multistorey-Apartment-FOR-Sale-Begur-in-Bangalore&id=4d423731383733313637,https://www.magicbricks.com/casagrand-amor-begur-bangalore-pdpid-4d4235343139353333
79,Jakkur,Sobha HRC Pristine,Ready to Move,Resale,3,30000000,15789,1900.057002,3,2,1,Unfurnished,https://www.magicbricks.com/propertyDetails/3-BHK-1775-Sq-ft-Multistorey-Apartment-FOR-Sale-Jakkur-in-Bangalore&id=4d423732303635323139,https://www.magicbricks.com/sobha-hrc-pristine-jakkur-bangalore-pdpid-4d4235313130303633
80,Sarjapur Road,Eshas Courtyard,Under Construction Poss. by Jul '25,New Property,3,13500000,6776,1997.0,3,0,1,Unfurnished,"https://www.magicbricks.com/property-for-sale/residential-real-estate?bedroom=3&proptype=Multistorey-Apartment,Builder-Floor-Apartment,Penthouse,Studio-Apartment,Residential-House,Villa&cityName=Bangalore",https://www.magicbricks.com/eshas-courtyard-sarjapur-road-bangalore-pdpid-4d4235343138353937
81,Varthur,SSVR Niyaara,Under Construction Poss. by Dec '28,New Property,3,13799999,9200,1500.0,3,0,0,Unfurnished,https://www.magicbricks.com/propertyDetails/3-BHK-1500-Sq-ft-Multistorey-Apartment-FOR-Sale-Varthur-in-Bangalore&id=4d423731393639383631,https://www.magicbricks.com/ssvr-niyaara-varthur-bangalore-pdpid-4d4235343139333337
82,Sarjapur Road,The Right Life,Under Construction Poss. by Jul '29,New Property,3,20000000,12041,1661.0,3,0,0,Unfurnished,https://www.magicbricks.com/propertyDetails/3-BHK-1990-Sq-ft-Multistorey-Apartment-FOR-Sale-Sarjapur-Road-in-Bangalore&id=4d423732323036303735,https://www.magicbricks.com/the-right-life-sarjapur-road-bangalore-pdpid-4d4235343139393339
83,Sarjapura,Metropolis Fair Oaks II,Under Construction Poss. by Sep '24,New Property,3,12600000,11504,1100.0,2,0,0,Unfurnished,https://www.magicbricks.com/propertyDetails/3-BHK-1100-Sq-ft-Villa-FOR-Sale-Sarjapur-in-Bangalore&id=4d423730313236333131,https://www.magicbricks.com/metropolis-fair-oaks-ii-sarjapur-bangalore-pdpid-4d4235333431323333
84,Banashankari,Brigade 7 Gardens,Ready to Move,New Property,3,12700000,9104,1395.0,2,0,0,Unfurnished,https://www.magicbricks.com/propertyDetails/3-BHK-1395-Sq-ft-Multistorey-Apartment-FOR-Sale-Banashankari-in-Bangalore&id=4d423731393136343835,https://www.magicbricks.com/brigade-7-gardens-banashankari-bangalore-pdpid-4d4235303932333235
85,Kogilu Main Road,Nikoo Homes VI Phase 1,Under Construction Poss. by Jan '29,New Property,3,23000000,10549,2182.0,3,0,1,Unfurnished,https://www.magicbricks.com/propertyDetails/3-BHK-2182-Sq-ft-Multistorey-Apartment-FOR-Sale-Kogilu-Main-Road-in-Bangalore&id=4d423731313538393431,https://www.magicbricks.com/nikoo-homes-vi-phase-1-kogilu-main-road-bangalore-pdpid-4d4235343138383535
86,Yelahanka,DS MAX Stavam,Under Construction Poss. by Mar '25,New Property,3,6580000,5000,1315.0,2,0,1,Unfurnished,https://www.magicbricks.com/propertyDetails/3-BHK-1315-Sq-ft-Multistorey-Apartment-FOR-Sale-Yelahanka-in-Bangalore&id=4d423638323431303935,https://www.magicbricks.com/ds-max-stavam-yelahanka-bangalore-pdpid-4d4235333235313937
87,Phase 9th JP Nagar,HM Indigo,Ready to Move,New Property,3,13600000,7533,1814.0,3,0,0,Unfurnished,https://www.magicbricks.com/propertyDetails/3-BHK-1814-Sq-ft-Multistorey-Apartment-FOR-Sale-JP-Nagar-9th-Phase-in-Bangalore&id=4d423731363436353933,https://www.magicbricks.com/hm-indigo-jp-nagar-9th-phase-bangalore-pdpid-4d4235303037333338
88,Sarjapura,Aiikya Village Sarjapur,Under Construction Poss. by Nov '26,New Property,3,13700000,7606,1812.0,3,0,1,Semi-Furnished,https://www.magicbricks.com/propertyDetails/3-BHK-1812-Sq-ft-Multistorey-Apartment-FOR-Sale-Sarjapur-in-Bangalore&id=4d423731343833343335,https://www.magicbricks.com/aiikya-village-sarjapur-sarjapur-bangalore-pdpid-4d4235343138383935
